image_id,hash,group_id,label,sun_azimuth_angle
train_03333.png,0014f69111dd918f3eb66a67322d776e7639a81d7b20f93930ebd1cf8c34734e,2,0,242.72
train_05451.png,0014f69111dd918f3eb66a67322d776e7639a81d7b20f93930ebd1cf8c34734e,2,1,127.14
train_00589.png,003311ca15a08af421c076e3499b38d60578202ce5fbe37b3336ccae3b532617,5,0,306.41
train_03920.png,003311ca15a08af421c076e3499b38d60578202ce5fbe37b3336ccae3b532617,5,1,200.86
train_03083.png,0081849a31d70be955fd488a059e055f585a35ad40d0ebe70df8e0c0fe4e4249,10,0,316.4
train_04838.png,0081849a31d70be955fd488a059e055f585a35ad40d0ebe70df8e0c0fe4e4249,10,1,51.93
train_03593.png,00b0911af0e2dbfaafb6bfd74c2d0fea1169ea8010d4ed03b82fac6a983472fa,16,0,312.15
train_07629.png,00b0911af0e2dbfaafb6bfd74c2d0fea1169ea8010d4ed03b82fac6a983472fa,16,1,35.9
train_03672.png,00b68fe26d7c6cdcbdc88edccb047beddcea9cf9e589560d643bfd77c7b65dd6,17,1,98.4
train_04404.png,00b68fe26d7c6cdcbdc88edccb047beddcea9cf9e589560d643bfd77c7b65dd6,17,0,307.19
train_02459.png,00f1e1b6bb565297c54547a37fc81c181a2d1f59d80cbc2bb60bf413a90c09c9,21,0,320.64
train_06163.png,00f1e1b6bb565297c54547a37fc81c181a2d1f59d80cbc2bb60bf413a90c09c9,21,1,88.28
train_01055.png,00fc4b6605656822a652380101d1779d5d55409a379251949861d3490b93e503,22,0,296.55
train_04665.png,00fc4b6605656822a652380101d1779d5d55409a379251949861d3490b93e503,22,1,134.07
train_06019.png,0111d161bb29c00a7d81310e71c957d1d7d6d480237d4024c01d9ce946dadfab,27,1,178.64
train_06035.png,0111d161bb29c00a7d81310e71c957d1d7d6d480237d4024c01d9ce946dadfab,27,0,285.89
train_01380.png,01adc1e1121265375a7a1b27e5d3b600a58befac812aed201c79db654e5b4895,43,1,323.76
train_02954.png,01adc1e1121265375a7a1b27e5d3b600a58befac812aed201c79db654e5b4895,43,0,349.17
train_04640.png,01be017c6e47a95062ae4d71d053cfa22df85e498d98d0e59fda1191b1b21fc6,46,1,330.13
train_05812.png,01be017c6e47a95062ae4d71d053cfa22df85e498d98d0e59fda1191b1b21fc6,46,0,271.43
train_00645.png,01cc7020de4d067664ad9deac1c0cee3dc414dee7e52ab067a9d6ca1b5304d5b,47,1,258.73
train_01564.png,01cc7020de4d067664ad9deac1c0cee3dc414dee7e52ab067a9d6ca1b5304d5b,47,0,182.09
train_04222.png,01f0ea9b2f4d14e7baab2cbc9872714f658088947bd0560622a6318153b28f3a,53,0,292.31
train_05364.png,01f0ea9b2f4d14e7baab2cbc9872714f658088947bd0560622a6318153b28f3a,53,1,350.5
train_02341.png,01f399b0c21f2d46142485973535c4db1138ec8fb66835b2acca02437e27dbab,54,1,341.67
train_03987.png,01f399b0c21f2d46142485973535c4db1138ec8fb66835b2acca02437e27dbab,54,0,151.6
train_05964.png,02186b8627ee9da9d89f0604f6edc485307486c2e020506b8ec40a8ca364affe,61,0,300.11
train_07305.png,02186b8627ee9da9d89f0604f6edc485307486c2e020506b8ec40a8ca364affe,61,1,179.01
train_03001.png,021d1c0cf0364369b75dd403de300c4caf237e0b38c4b5f1d6e672c58db9f1d0,62,1,247.04
train_05795.png,021d1c0cf0364369b75dd403de300c4caf237e0b38c4b5f1d6e672c58db9f1d0,62,0,311.43
