image_id,split
train_00001.png,train
train_00002.png,train
train_00003.png,train
train_00004.png,train
train_00005.png,train
train_00006.png,val
train_00007.png,val
train_00008.png,train
train_00009.png,train
train_00010.png,train
train_00011.png,val
train_00012.png,train
train_00013.png,train
train_00014.png,train
train_00015.png,train
train_00016.png,train
train_00017.png,val
train_00018.png,val
train_00019.png,val
train_00020.png,train
train_00021.png,train
train_00022.png,val
train_00023.png,train
train_00024.png,train
train_00025.png,train
train_00026.png,train
train_00027.png,train
train_00028.png,val
train_00029.png,train
train_00030.png,train
train_00031.png,train
train_00032.png,train
train_00033.png,train
train_00034.png,val
train_00035.png,train
train_00036.png,train
train_00037.png,train
train_00038.png,train
train_00039.png,train
train_00040.png,train
train_00041.png,train
train_00042.png,train
train_00043.png,train
train_00044.png,val
train_00045.png,train
train_00046.png,train
train_00047.png,train
train_00048.png,train
train_00049.png,train
train_00050.png,train
train_00051.png,train
train_00052.png,train
train_00053.png,val
train_00054.png,train
train_00055.png,train
train_00056.png,train
train_00057.png,train
train_00058.png,train
train_00059.png,train
train_00060.png,train
train_00061.png,val
train_00062.png,train
train_00063.png,train
train_00064.png,train
train_00065.png,train
train_00066.png,train
train_00067.png,train
train_00068.png,train
train_00069.png,val
train_00070.png,train
train_00071.png,train
train_00072.png,train
train_00073.png,val
train_00074.png,train
train_00075.png,train
train_00076.png,train
train_00077.png,train
train_00078.png,train
train_00079.png,train
train_00080.png,train
train_00081.png,train
train_00082.png,train
train_00083.png,train
train_00084.png,train
train_00085.png,val
train_00086.png,train
train_00087.png,train
train_00088.png,train
train_00089.png,train
train_00090.png,train
train_00091.png,val
train_00092.png,train
train_00093.png,train
train_00094.png,val
train_00095.png,train
train_00096.png,train
train_00097.png,val
train_00098.png,train
train_00099.png,train
train_00100.png,train
train_00101.png,train
train_00102.png,train
train_00103.png,val
train_00104.png,train
train_00105.png,train
train_00106.png,val
train_00107.png,train
train_00108.png,train
train_00109.png,val
train_00110.png,train
train_00111.png,val
train_00112.png,train
train_00113.png,val
train_00114.png,val
train_00115.png,train
train_00116.png,train
train_00117.png,train
train_00118.png,train
train_00119.png,val
train_00120.png,train
train_00121.png,train
train_00122.png,train
train_00123.png,train
train_00124.png,val
train_00125.png,train
train_00126.png,val
train_00127.png,train
train_00128.png,train
train_00129.png,train
train_00130.png,val
train_00131.png,train
train_00132.png,train
train_00133.png,train
train_00134.png,train
train_00135.png,train
train_00136.png,train
train_00137.png,train
train_00138.png,train
train_00139.png,train
train_00140.png,train
train_00141.png,val
train_00142.png,val
train_00143.png,train
train_00144.png,train
train_00145.png,train
train_00146.png,train
train_00147.png,val
train_00148.png,train
train_00149.png,val
train_00150.png,train
train_00151.png,train
train_00152.png,val
train_00153.png,train
train_00154.png,train
train_00155.png,val
train_00156.png,train
train_00157.png,train
train_00158.png,train
train_00159.png,train
train_00160.png,val
train_00161.png,train
train_00162.png,train
train_00163.png,train
train_00164.png,val
train_00165.png,train
train_00166.png,train
train_00167.png,train
train_00168.png,train
train_00169.png,train
train_00170.png,val
train_00171.png,train
train_00172.png,train
train_00173.png,train
train_00174.png,train
train_00175.png,train
train_00176.png,train
train_00177.png,val
train_00178.png,train
train_00179.png,train
train_00180.png,train
train_00181.png,val
train_00182.png,train
train_00183.png,train
train_00184.png,train
train_00185.png,train
train_00186.png,train
train_00187.png,train
train_00188.png,val
train_00189.png,train
train_00190.png,val
train_00191.png,val
train_00192.png,train
train_00193.png,train
train_00194.png,train
train_00195.png,val
train_00196.png,train
train_00197.png,train
train_00198.png,train
train_00199.png,train
train_00200.png,train
train_00201.png,train
train_00202.png,train
train_00203.png,train
train_00204.png,train
train_00205.png,train
train_00206.png,train
train_00207.png,train
train_00208.png,train
train_00209.png,train
train_00210.png,train
train_00211.png,train
train_00212.png,train
train_00213.png,train
train_00214.png,train
train_00215.png,val
train_00216.png,train
train_00217.png,train
train_00218.png,val
train_00219.png,train
train_00220.png,train
train_00221.png,val
train_00222.png,train
train_00223.png,train
train_00224.png,train
train_00225.png,train
train_00226.png,train
train_00227.png,train
train_00228.png,val
train_00229.png,train
train_00230.png,train
train_00231.png,train
train_00232.png,train
train_00233.png,train
train_00234.png,train
train_00235.png,val
train_00236.png,train
train_00237.png,train
train_00238.png,train
train_00239.png,train
train_00240.png,train
train_00241.png,train
train_00242.png,train
train_00243.png,train
train_00244.png,val
train_00245.png,val
train_00246.png,train
train_00247.png,train
train_00248.png,train
train_00249.png,val
train_00250.png,train
train_00251.png,train
train_00252.png,val
train_00253.png,train
train_00254.png,train
train_00255.png,train
train_00256.png,train
train_00257.png,train
train_00258.png,train
train_00259.png,val
train_00260.png,train
train_00261.png,train
train_00262.png,train
train_00263.png,train
train_00264.png,train
train_00265.png,train
train_00266.png,train
train_00267.png,train
train_00268.png,train
train_00269.png,train
train_00270.png,train
train_00271.png,train
train_00272.png,val
train_00273.png,train
train_00274.png,train
train_00275.png,train
train_00276.png,val
train_00277.png,train
train_00278.png,train
train_00279.png,train
train_00280.png,train
train_00281.png,val
train_00282.png,train
train_00283.png,train
train_00284.png,train
train_00285.png,train
train_00286.png,train
train_00287.png,val
train_00288.png,train
train_00289.png,val
train_00290.png,train
train_00291.png,train
train_00292.png,train
train_00293.png,train
train_00294.png,val
train_00295.png,train
train_00296.png,val
train_00297.png,train
train_00298.png,train
train_00299.png,train
train_00300.png,train
train_00301.png,val
train_00302.png,train
train_00303.png,train
train_00304.png,train
train_00305.png,val
train_00306.png,val
train_00307.png,train
train_00308.png,val
train_00309.png,train
train_00310.png,train
train_00311.png,train
train_00312.png,val
train_00313.png,train
train_00314.png,val
train_00315.png,train
train_00316.png,train
train_00317.png,train
train_00318.png,val
train_00319.png,train
train_00320.png,val
train_00321.png,train
train_00322.png,train
train_00323.png,train
train_00324.png,train
train_00325.png,train
train_00326.png,train
train_00327.png,val
train_00328.png,train
train_00329.png,train
train_00330.png,train
train_00331.png,train
train_00332.png,train
train_00333.png,train
train_00334.png,train
train_00335.png,val
train_00336.png,train
train_00337.png,train
train_00338.png,train
train_00339.png,train
train_00340.png,train
train_00341.png,train
train_00342.png,train
train_00343.png,train
train_00344.png,val
train_00345.png,train
train_00346.png,val
train_00347.png,train
train_00348.png,train
train_00349.png,val
train_00350.png,train
train_00351.png,train
train_00352.png,val
train_00353.png,train
train_00354.png,train
train_00355.png,train
train_00356.png,train
train_00357.png,train
train_00358.png,train
train_00359.png,train
train_00360.png,train
train_00361.png,train
train_00362.png,val
train_00363.png,train
train_00364.png,train
train_00365.png,train
train_00366.png,train
train_00367.png,train
train_00368.png,train
train_00369.png,train
train_00370.png,train
train_00371.png,train
train_00372.png,train
train_00373.png,train
train_00374.png,train
train_00375.png,train
train_00376.png,train
train_00377.png,train
train_00378.png,train
train_00379.png,train
train_00380.png,val
train_00381.png,val
train_00382.png,val
train_00383.png,train
train_00384.png,train
train_00385.png,train
train_00386.png,train
train_00387.png,train
train_00388.png,train
train_00389.png,val
train_00390.png,train
train_00391.png,train
train_00392.png,train
train_00393.png,train
train_00394.png,train
train_00395.png,train
train_00396.png,val
train_00397.png,train
train_00398.png,train
train_00399.png,train
train_00400.png,val
train_00401.png,val
train_00402.png,train
train_00403.png,train
train_00404.png,train
train_00405.png,val
train_00406.png,val
train_00407.png,train
train_00408.png,train
train_00409.png,val
train_00410.png,train
train_00411.png,train
train_00412.png,train
train_00413.png,train
train_00414.png,train
train_00415.png,val
train_00416.png,train
train_00417.png,val
train_00418.png,train
train_00419.png,train
train_00420.png,train
train_00421.png,train
train_00422.png,train
train_00423.png,train
train_00424.png,train
train_00425.png,train
train_00426.png,val
train_00427.png,val
train_00428.png,train
train_00429.png,train
train_00430.png,train
train_00431.png,train
train_00432.png,val
train_00433.png,train
train_00434.png,train
train_00435.png,train
train_00436.png,val
train_00437.png,train
train_00438.png,train
train_00439.png,train
train_00440.png,train
train_00441.png,train
train_00442.png,train
train_00443.png,val
train_00444.png,train
train_00445.png,train
train_00446.png,train
train_00447.png,train
train_00448.png,train
train_00449.png,train
train_00450.png,train
train_00451.png,train
train_00452.png,val
train_00453.png,train
train_00454.png,train
train_00455.png,train
train_00456.png,train
train_00457.png,train
train_00458.png,val
train_00459.png,train
train_00460.png,train
train_00461.png,train
train_00462.png,train
train_00463.png,train
train_00464.png,train
train_00465.png,train
train_00466.png,train
train_00467.png,train
train_00468.png,train
train_00469.png,train
train_00470.png,train
train_00471.png,train
train_00472.png,val
train_00473.png,train
train_00474.png,train
train_00475.png,train
train_00476.png,train
train_00477.png,val
train_00478.png,val
train_00479.png,val
train_00480.png,train
train_00481.png,train
train_00482.png,train
train_00483.png,train
train_00484.png,val
train_00485.png,train
train_00486.png,train
train_00487.png,train
train_00488.png,train
train_00489.png,train
train_00490.png,train
train_00491.png,train
train_00492.png,train
train_00493.png,train
train_00494.png,val
train_00495.png,train
train_00496.png,val
train_00497.png,train
train_00498.png,train
train_00499.png,train
train_00500.png,train
train_00501.png,val
train_00502.png,val
train_00503.png,train
train_00504.png,train
train_00505.png,train
train_00506.png,train
train_00507.png,train
train_00508.png,train
train_00509.png,val
train_00510.png,train
train_00511.png,val
train_00512.png,train
train_00513.png,train
train_00514.png,train
train_00515.png,val
train_00516.png,train
train_00517.png,train
train_00518.png,train
train_00519.png,train
train_00520.png,train
train_00521.png,train
train_00522.png,train
train_00523.png,train
train_00524.png,train
train_00525.png,train
train_00526.png,val
train_00527.png,val
train_00528.png,train
train_00529.png,train
train_00530.png,train
train_00531.png,train
train_00532.png,val
train_00533.png,val
train_00534.png,train
train_00535.png,train
train_00536.png,train
train_00537.png,train
train_00538.png,val
train_00539.png,val
train_00540.png,train
train_00541.png,train
train_00542.png,train
train_00543.png,train
train_00544.png,val
train_00545.png,train
train_00546.png,val
train_00547.png,train
train_00548.png,val
train_00549.png,train
train_00550.png,train
train_00551.png,train
train_00552.png,train
train_00553.png,val
train_00554.png,train
train_00555.png,train
train_00556.png,train
train_00557.png,train
train_00558.png,val
train_00559.png,train
train_00560.png,val
train_00561.png,val
train_00562.png,train
train_00563.png,train
train_00564.png,train
train_00565.png,train
train_00566.png,val
train_00567.png,train
train_00568.png,train
train_00569.png,val
train_00570.png,val
train_00571.png,train
train_00572.png,train
train_00573.png,train
train_00574.png,train
train_00575.png,train
train_00576.png,train
train_00577.png,train
train_00578.png,train
train_00579.png,train
train_00580.png,train
train_00581.png,train
train_00582.png,train
train_00583.png,train
train_00584.png,train
train_00585.png,train
train_00586.png,train
train_00587.png,train
train_00588.png,val
train_00589.png,train
train_00590.png,train
train_00591.png,train
train_00592.png,train
train_00593.png,train
train_00594.png,train
train_00595.png,train
train_00596.png,train
train_00597.png,train
train_00598.png,val
train_00599.png,train
train_00600.png,train
train_00601.png,train
train_00602.png,train
train_00603.png,train
train_00604.png,train
train_00605.png,train
train_00606.png,train
train_00607.png,train
train_00608.png,val
train_00609.png,train
train_00610.png,train
train_00611.png,train
train_00612.png,train
train_00613.png,train
train_00614.png,train
train_00615.png,train
train_00616.png,train
train_00617.png,train
train_00618.png,train
train_00619.png,train
train_00620.png,val
